morphology	lambda	run	distance	dragging
gecko	1	12	8.506447	0.229933
gecko	1	13	5.289192	0.148900
gecko	1	14	7.891165	0.238000
gecko	1	15	8.308528	0.247433
gecko	1	16	7.443039	0.263000
gecko	1	17	5.082667	0.267733
gecko	1	18	8.136432	0.247000
gecko	1	19	7.019171	0.246900
gecko	1	20	8.541539	0.225700
gecko	1	21	8.278865	0.246967
gecko	1	22	8.452138	0.228100
gecko	1	23	7.412358	0.270533
gecko	1	24	8.498472	0.229567
gecko	1	25	8.249932	0.245267
gecko	1	26	8.264909	0.247067
gecko	1	27	5.274506	0.105600
gecko	1	28	5.770585	0.306700
gecko	1	29	8.425344	0.233067
gecko	1	30	8.122490	0.229767
gecko	2	1	8.259876	0.244567
gecko	2	2	8.100383	0.249567
gecko	2	3	8.170212	0.203533
gecko	2	4	5.719788	0.293933
gecko	2	5	7.073852	0.200267
gecko	2	6	5.459960	0.269133
gecko	2	7	7.984491	0.220233
gecko	2	8	8.264891	0.204133
gecko	2	9	8.263465	0.243567
gecko	2	10	5.503699	0.251400
gecko	2	11	8.534613	0.223667
gecko	2	12	8.509632	0.230667
gecko	2	13	5.309719	0.284100
gecko	2	14	8.209897	0.246300
gecko	2	15	8.259767	0.203100
gecko	2	16	6.980349	0.200200
gecko	2	17	8.393170	0.221267
gecko	2	18	9.366054	0.259867
gecko	2	19	8.487565	0.220800
gecko	2	20	8.016022	0.233533
gecko	2	21	7.055633	0.223767
gecko	2	22	8.053873	0.210367
gecko	2	23	7.780189	0.230867
gecko	2	24	6.986770	0.243000
gecko	2	25	5.420373	0.281533
gecko	2	26	8.225294	0.214467
gecko	2	27	5.494851	0.292933
gecko	2	28	7.139767	0.242167
gecko	2	29	5.251290	0.296600
gecko	2	30	7.222654	0.248700
gecko	3	1	7.679601	0.120067
gecko	3	2	5.111382	0.272800
gecko	3	3	7.686736	0.230900
gecko	3	4	8.400883	0.219367
gecko	3	5	8.436043	0.219800
gecko	3	6	6.157922	0.065233
gecko	3	7	5.295027	0.250767
gecko	3	8	8.372735	0.220433
gecko	3	9	7.295533	0.103067
gecko	3	10	8.140472	0.240400
gecko	3	11	5.117474	0.019867
gecko	3	12	4.794046	0.269867
gecko	3	13	5.331241	0.288267
gecko	3	14	7.663543	0.226167
gecko	3	15	5.327395	0.281067
gecko	3	16	5.248771	0.246133
gecko	3	17	6.975194	0.186200
gecko	3	18	8.068355	0.232167
gecko	3	19	7.342004	0.197800
gecko	3	20	8.496064	0.221833
gecko	3	21	4.496034	0.057767
gecko	3	22	8.250467	0.200833
gecko	3	23	4.389536	0.057667
gecko	3	24	7.744632	0.206233
gecko	3	25	6.802784	0.118100
gecko	3	26	7.994161	0.202300
gecko	3	27	8.490589	0.219867
gecko	3	28	7.498814	0.104667
gecko	3	29	7.938647	0.202167
gecko	3	30	5.049532	0.016333
