generation,fitness,distance,contact_ratio
1,1.2124007669597479,2.1023412675552713,0.4233092478037116
2,1.3923116404862856,2.678657773871195,0.4802204096142832
3,1.553300402045806,2.401577207816156,0.35321654578064543
4,1.8476653486110766,3.135374230096519,0.4107034079455969
5,1.2337269174156011,2.17784076112231,0.4335091254422923
6,1.4691931360722394,2.6915675143187516,0.4541496253553576
7,1.731277461681944,3.2978423473585803,0.4750272210348026
8,2.010357711467487,3.4973202116928968,0.42517196316594574
9,1.4683477989521836,2.6529514157883836,0.4465229215229215
10,1.4256653144006621,2.574729225889508,0.4462853413612345
11,1.9155884974167334,3.755254053728616,0.48989110456728396
12,1.5134423048679908,2.7148429943775403,0.44253044908956396
13,2.2603543120039142,3.7974370316442276,0.4047684548372306
14,2.1763569797071716,4.070284045082624,0.4653058716291646
15,2.161314093289801,3.870727096098187,0.4416258135406982
16,1.8542649878735968,3.3234040288618916,0.44205851236552945
17,2.1123627870740003,2.7339927547038445,0.2273707443300015
18,1.0944877919505112,1.4761441858616762,0.25854953572057676
19,1.2306360392740656,1.8277592238259677,0.32669685195294523
20,0.9587247263633217,1.965128495307857,0.5121312786148735
21,0.9421033751664334,1.8044400095997002,0.4778970926412615
22,1.2911618924565946,2.2544760741766146,0.427289600787555
23,1.2031868742226113,2.135958619171378,0.4366993520270658
24,0.7624502166925502,1.395725693341973,0.45372488281209933
25,1.1318809755318644,2.0440456819211392,0.4462545599920044
26,1.615218297846313,2.9806417978516393,0.45809714571857785
27,1.578503161512651,2.817191366289328,0.43968905328863717
28,2.0896306099714725,3.0098504629484686,0.3057360703812317
29,1.8141118712562365,3.2794394042034,0.4468225670122123
30,1.6332762536554466,3.031565783121636,0.4612433407354122
31,1.83522196092486,3.2658158167453304,0.43805099126691777
32,2.246968668305349,2.837194363978866,0.20803146346512108
33,1.2323372737409561,1.9549073964072916,0.36961859369618594
34,1.2817089067903964,2.1697925936990674,0.40929427517063455
35,1.206205898232431,2.0592562690219256,0.41425168087246544
36,1.3263765088277162,2.209398773945414,0.3996663144430232
37,2.0834096310524197,2.8817292113145823,0.2770279654062244
38,1.419820278114928,2.6181489079102835,0.45770071601917406
39,1.8329585647185342,3.466517168889695,0.47123915001245475
40,2.232171217036911,3.4232440166628146,0.3479368674357704
41,2.021282499461755,3.376372570063509,0.4013449471236123
42,1.4950236650129913,2.756918281718493,0.4577192675870371
43,2.024353139630873,3.3951081673507177,0.4037441401431039
44,1.4047989697325634,2.620852433390568,0.4639915808173945
45,2.3079227067319676,2.973858197897411,0.22392980661831002
46,1.6833419028863619,3.4634799871906874,0.5139738329333436
47,2.314732760297157,4.4539654270489955,0.48029844456363496
48,2.401687170045254,4.298523592269898,0.4412762618392405
49,2.4037729383497903,4.274185476926689,0.437606778805912
50,2.375380164888601,4.349611199100833,0.4538867829428874
51,2.109811541802268,3.6169840822938855,0.4166931637519873
52,2.8545279798512917,5.199764139830035,0.4510274114193575
53,2.463506652968965,3.9463318048468214,0.37574771337186463
54,1.927225359741797,3.6176865755632095,0.4672768578793307
55,2.3488000110472567,4.519352650732919,0.48027954608358703
56,2.0592503158604374,3.5897861932971753,0.42635850577801665
57,2.288929172302609,3.972177164298734,0.4237595460557191
58,2.0735899338707426,4.533091051809479,0.542566008453983
59,2.9869330375228995,4.961094136045579,0.39792857067135934
60,2.4006719399523218,4.062363315234249,0.4090454856783553
61,2.5126129786940163,4.4620754811803724,0.43689590431819764
62,2.5084783886790594,4.770459733765776,0.4741642255307583
63,2.5494597947270563,4.5137025790361305,0.43517328621340506
64,2.1599650722980384,4.234626593572299,0.489927854423663
65,1.6910963147804818,3.4300124730713843,0.5069707973201043
66,2.1766055014941856,3.9219015069769165,0.44501270681528193
67,2.1331677577735846,3.898579072500665,0.4528345537941579
68,2.161923382224924,3.8295468219418183,0.4354623450905624
69,2.2109694866225142,3.9770540647668033,0.4440685365055113
70,2.6054162307627275,4.668821255531838,0.44195417040742163
71,2.9032057428634817,5.011786465949329,0.4207243739157274
72,3.5509688296410546,6.8098299203698,0.4785524937973454
73,3.640609391913089,6.568605063735632,0.4457560841932186
74,2.6838355197629022,5.052194898398361,0.46877830849048835
75,2.844191523678992,5.1631382636797225,0.4491351231698447
76,2.71869204540715,4.55268923398267,0.40283821150936505
77,3.435385557575604,5.96708438654575,0.42427736310860287
78,3.724409287139772,5.314607977567429,0.2992127918258072
79,2.80979467620099,4.95200392217665,0.4325944162487766
80,2.3223700413251045,4.244409548184296,0.4528402561155804
81,2.699496469125507,4.7707229851193,0.43415359107085083
82,3.0962048045521287,5.17410972837683,0.40159660944735337
83,2.6386951481891243,4.863362245233281,0.45743396951864235
84,2.5688526502726727,4.463487174109513,0.4244740602878128
85,2.6727366680286884,4.603018763749068,0.41935134197632573
86,3.1613916042459493,5.908230949453472,0.46491739552964045
