robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
babya,base,blf,flat,flat,1,24.70950848542478,0.9112022790420858,6.023333333333333,False
babya,base,blf,flat,flat,2,25.71652685007643,0.928226172488422,6.69,False
babya,base,blf,flat,flat,3,21.10212351379763,0.944044759163666,17.583333333333332,False
babya,base,blf,flat,flat,4,26.44056243905732,0.9237023410430772,8.503333333333334,False
babya,base,blf,flat,flat,5,28.73817096869645,0.9680099344969528,10.1,False
babya,base,blf,flat,flat,6,21.2605144624498,0.9566580272472338,25.563333333333333,False
babya,base,blf,flat,flat,7,21.85963179314244,0.9541009980013768,36.61,False
babya,base,blf,flat,flat,8,24.35399394212862,0.952591670150719,4.37,False
babya,base,blf,flat,flat,9,15.198915034471275,0.9120280070126956,50.09666666666666,False
babya,base,blf,flat,flat,10,26.803812044105207,0.9649704079622508,9.863333333333332,False
babya,base,blf,flat,flat,11,25.34076299257013,0.954577076155878,11.903333333333334,False
babya,base,blf,flat,flat,12,24.21125544900824,0.9474887180802904,37.20666666666666,False
babya,base,blf,flat,flat,13,24.23921759546456,0.9671879645431049,17.11,False
babya,base,blf,flat,flat,14,23.0024015736306,0.9459136996710932,14.56,False
babya,base,blf,flat,flat,15,24.87937031779776,0.9615504555872696,10.2,False
babya,base,blf,flat,flat,16,11.93689915819862,0.8107603685830251,26.726666666666667,False
babya,base,blf,flat,flat,17,19.562756733315013,0.9517948160305716,19.57333333333333,False
babya,base,blf,flat,flat,18,26.507215413145595,0.922833703804742,6.486666666666666,False
babya,base,blf,flat,flat,19,27.192087500270755,0.9420836225117905,12.696666666666667,False
babya,base,blf,flat,flat,20,23.911336907229384,0.9173883387739684,5.16,False
babya,base,blf,flat,flat,21,26.09085994085229,0.9650653904576456,11.703333333333331,False
babya,base,blf,flat,flat,22,21.234901945813476,0.9675573558958168,43.17666666666667,False
babya,base,blf,flat,flat,23,27.688350483221523,0.9539967953167636,8.7,False
babya,base,blf,flat,flat,24,31.88181841131124,0.9710150557249916,7.623333333333333,False
babya,base,blf,flat,flat,25,25.9484588952712,0.955992870273888,31.94333333333333,False
babya,base,blf,flat,flat,26,26.283281902335503,0.9642126634287168,7.943333333333333,False
babya,base,blf,flat,flat,27,26.129427702946717,0.9083250435247758,12.413333333333334,False
babya,base,blf,flat,flat,28,24.98562012484146,0.9426379087542576,33.96333333333333,False
babya,base,blf,flat,flat,29,25.62064437533338,0.9435907209092974,4.24,False
babya,base,blf,flat,flat,30,23.986052040653863,0.9405118873637937,30.80666666666667,False
babya,base,blf,flat,rugged,1,1.051120792619738,0.0954999882021262,62.48333333333333,True
babya,base,blf,flat,rugged,2,12.843346837614956,0.5207581868051306,3.49,True
babya,base,blf,flat,rugged,3,4.770448413366287,0.2377873324058451,19.696666666666665,True
babya,base,blf,flat,rugged,4,3.5204599868892625,0.1428911367591399,14.706666666666669,True
babya,base,blf,flat,rugged,5,6.430545607901908,0.2876806467936099,21.81,True
babya,base,blf,flat,rugged,6,9.45337631105862,0.4953070402017119,26.446666666666665,True
