robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
babya,phi,uncoupled,rugged,rugged,2,11.077646098649224,0.8170773208582861,9.58,False
babya,phi,uncoupled,rugged,rugged,3,10.349574917897026,0.7764207350033357,24.626666666666665,False
babya,phi,uncoupled,rugged,rugged,4,10.425956810314757,0.8279321605081739,17.233333333333334,False
babya,phi,uncoupled,rugged,rugged,5,13.154245056990368,0.7880838902896342,13.626666666666669,False
babya,phi,uncoupled,rugged,rugged,6,15.308729344042035,0.8921611461046028,2.2066666666666666,False
babya,phi,uncoupled,rugged,rugged,7,13.611950251714712,0.8323651308806912,10.413333333333334,False
babya,phi,uncoupled,rugged,rugged,8,10.730834873694151,0.8143789845643465,38.53666666666667,False
babya,phi,uncoupled,rugged,rugged,9,12.219679591892676,0.8234418308933469,14.71,False
babya,phi,uncoupled,rugged,rugged,10,13.500020099523704,0.7362400192885532,7.12,False
ege,base,blf,flat,flat,1,6.644662075404376,0.57403518843269,14.793333333333331,False
ege,base,blf,flat,flat,2,7.571150942422376,0.581897425454718,49.09666666666666,False
ege,base,blf,flat,flat,3,12.59884702975652,0.7152683436306557,30.946666666666665,False
ege,base,blf,flat,flat,4,8.359511920726838,0.6537248151981189,15.616666666666667,False
ege,base,blf,flat,flat,5,7.074444044310265,0.6172555916282835,15.23,False
ege,base,blf,flat,flat,6,14.810954670362332,0.8865501881671038,10.093333333333334,False
ege,base,blf,flat,flat,7,6.847171895336606,0.6064296768877084,23.33333333333333,False
ege,base,blf,flat,flat,8,12.885011640833532,0.7329091632306641,40.41,False
ege,base,blf,flat,flat,9,4.623438871964424,0.6735873156102575,5.726666666666667,False
ege,base,blf,flat,flat,10,10.558222902169286,0.729142294060019,16.55666666666667,False
ege,base,blf,flat,rugged,1,4.710749828784779,0.4467979649975503,16.73,True
ege,base,blf,flat,rugged,2,6.440349956055947,0.5318591573215397,51.78,True
ege,base,blf,flat,rugged,3,2.9859352225587625,0.1891748354956162,23.73,True
ege,base,blf,flat,rugged,4,2.0603109531348216,0.1996935687431113,15.72,True
ege,base,blf,flat,rugged,5,5.816818190631273,0.5469823294310786,16.05,True
ege,base,blf,flat,rugged,6,6.943952956209459,0.5330946663314704,19.406666666666663,True
ege,base,blf,flat,rugged,7,2.325824957970229,0.2923794606574312,40.99333333333333,True
ege,base,blf,flat,rugged,8,6.2113724422109735,0.4476576578507675,41.75,True
ege,base,blf,flat,rugged,9,3.982838245382733,0.6084704156906791,5.973333333333334,True
ege,base,blf,flat,rugged,10,2.7978153152463303,0.2632149952446262,24.166666666666668,True
ege,base,blf,rugged,flat,1,12.041453468063082,0.869687749168123,18.936666666666667,True
ege,base,blf,rugged,flat,2,6.838920786385074,0.5529388397381246,48.33,True
ege,base,blf,rugged,flat,3,6.006467951210451,0.5085491475510916,20.433333333333334,True
