robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
babya,base,blf,flat,flat,1,11.409133516173958,0.8600638697132797,9.93333333333333,False
babya,base,blf,flat,flat,2,11.96302318027158,0.860289388254876,18.166666666666657,False
babya,base,blf,flat,flat,3,11.410807749769004,0.8548241857765319,4.51666666666666,False
babya,base,blf,flat,flat,4,15.233790342484015,0.8354965937364659,16.950000000000003,False
babya,base,blf,flat,flat,5,13.42287612242674,0.8835185562783128,17.766666666666662,False
babya,base,blf,flat,flat,6,14.760094345993007,0.8708617430516936,19.37,False
babya,base,blf,flat,flat,7,8.331533277228656,0.8747552322129978,2.70333333333333,False
babya,base,blf,flat,flat,8,11.376141650477292,0.906033295749797,6.12666666666666,False
babya,base,blf,flat,flat,9,17.44115888903191,0.9059441569113276,18.50333333333333,False
babya,base,blf,flat,flat,10,11.81122913492951,0.8572748011286276,12.53666666666666,False
babya,base,blf,flat,flat,11,11.700470214574024,0.8973883391992078,21.15333333333333,False
babya,base,blf,flat,flat,12,11.620174052709237,0.8122145917883745,33.45,False
babya,base,blf,flat,flat,13,11.834915935959012,0.9026575367811348,17.599999999999998,False
babya,base,blf,flat,flat,14,8.186666439437381,0.8370674732535699,28.096666666666657,False
babya,base,blf,flat,flat,15,14.587266478701077,0.8465813358530088,52.70333333333333,False
babya,base,blf,flat,flat,16,11.990662072150627,0.9440533737674408,23.626666666666654,False
babya,base,blf,flat,flat,17,12.375170162899762,0.8088223877117244,6.95666666666666,False
babya,base,blf,flat,flat,18,11.46800402676071,0.8803731630344647,8.166666666666659,False
babya,base,blf,flat,flat,19,13.202124744562004,0.8542621496249091,8.55,False
babya,base,blf,flat,flat,20,11.135609482610707,0.883397837790288,9.99,False
babya,base,blf,flat,flat,21,11.785551586033865,0.9118203491317772,7.29666666666666,False
babya,base,blf,flat,flat,22,11.759400215760296,0.9599625325439568,20.42333333333333,False
babya,base,blf,flat,flat,23,15.748507709972223,0.93838500154175,4.88,False
babya,base,blf,flat,flat,24,11.638894740017014,0.9483592979376652,20.41333333333333,False
babya,base,blf,flat,flat,25,8.582597681310379,0.8749129111391933,3.3300000000000005,False
babya,base,blf,flat,flat,26,9.769160432976031,0.9196793428119528,17.82666666666666,False
babya,base,blf,flat,flat,27,11.213448137021231,0.8184117022218221,26.473333333333333,False
babya,base,blf,flat,flat,28,10.736981150359174,0.8949387448239317,8.450000000000001,False
babya,base,blf,flat,flat,29,11.13158611342463,0.8803511234343742,20.47,False
babya,base,blf,flat,flat,30,10.870282744988446,0.8385509673614987,3.69333333333333,False
babya,base,blf,flat,rugged,1,10.092483103111723,0.8174908217925202,13.99,True
babya,base,blf,flat,rugged,2,9.820541649466518,0.8132402515597617,20.51,True
babya,base,blf,flat,rugged,3,7.968908606828656,0.7356531339722545,10.413333333333334,True
babya,base,blf,flat,rugged,4,3.364884826399626,0.3418590995594248,54.973333333333336,True
babya,base,blf,flat,rugged,5,2.0650947387102483,0.1618787363111289,21.63,True
babya,base,blf,flat,rugged,6,5.509768937663442,0.655855620767591,42.18,True
babya,base,blf,flat,rugged,7,6.64327983348359,0.815521566933977,5.506666666666667,True
babya,base,blf,flat,rugged,8,9.622982789786205,0.8659049201944693,11.37,True
babya,base,blf,flat,rugged,9,3.0725322328010125,0.1813941838758664,18.276666666666667,True
babya,base,blf,flat,rugged,10,9.42837742790554,0.7720240615614825,13.233333333333333,True
babya,base,blf,flat,rugged,11,10.097696298872656,0.8475238801235234,22.85333333333333,True
babya,base,blf,flat,rugged,12,10.421232069818956,0.7946937998671963,35.92666666666667,True
babya,base,blf,flat,rugged,13,9.260021349656755,0.7540169660634259,18.293333333333333,True
babya,base,blf,flat,rugged,14,6.747930695025139,0.762501208399125,32.06333333333333,True
babya,base,blf,flat,rugged,15,11.090449994202585,0.791030732833809,54.32666666666667,True
babya,base,blf,flat,rugged,16,9.354391081290649,0.8278560485311687,25.043333333333333,True
babya,base,blf,flat,rugged,17,10.379311542681322,0.7898137391360049,9.766666666666667,True
babya,base,blf,flat,rugged,18,9.174883674210466,0.7524862460717384,9.226666666666668,True
babya,base,blf,flat,rugged,19,0.6329093757044392,0.0983221486219343,52.086666666666666,True
babya,base,blf,flat,rugged,20,6.17122500354042,0.6820830820284779,34.53,True
babya,base,blf,flat,rugged,21,7.444604918461781,0.6697264579184008,12.693333333333332,True
babya,base,blf,flat,rugged,22,9.833224023305624,0.8770971363746329,19.886666666666667,True
babya,base,blf,flat,rugged,23,10.8343722353807,0.752026834784665,7.05,True
babya,base,blf,flat,rugged,24,9.939984614175165,0.911657440951895,21.39666666666667,True
babya,base,blf,flat,rugged,25,7.135079097667288,0.7958408098511932,6.473333333333334,True
babya,base,blf,flat,rugged,26,8.935538318533187,0.8826017172401425,18.516666666666666,True
babya,base,blf,flat,rugged,27,1.2887837649496,0.2661577162910811,77.00666666666666,True
babya,base,blf,flat,rugged,28,8.274162716826732,0.7464946838712808,8.966666666666667,True
babya,base,blf,flat,rugged,29,5.865035592460003,0.5133292678723618,21.666666666666668,True
babya,base,blf,flat,rugged,30,8.84622400880458,0.7421147170502335,5.8,True
babya,base,blf,rugged,flat,1,10.774665164242068,0.8004587000914515,10.276666666666667,True
babya,base,blf,rugged,flat,2,7.198878337968899,0.9115544460077256,57.33,True
babya,base,blf,rugged,flat,3,5.658946234553246,0.7020703853388066,70.69666666666667,True
babya,base,blf,rugged,flat,4,7.626654794896233,0.8092051730648697,63.66,True
babya,base,blf,rugged,flat,5,7.921611671910812,0.8298162141960789,33.86666666666667,True
babya,base,blf,rugged,flat,6,6.842197685750643,0.8768296690391526,70.95333333333333,True
