robot,variant,coupling,seed,distance,drag_pct,em
spider,base,blf,23,8.7990,2.9033,0.7494
spider,base,blf,24,8.3526,41.0367,0.8460
spider,base,blf,25,8.6334,5.3633,0.7818
spider,base,blf,26,8.7234,1.6067,0.7021
spider,base,blf,27,8.5640,6.5800,0.7788
spider,base,blf,28,8.8863,0.1700,0.7816
spider,base,blf,29,8.8684,3.8167,0.8078
spider,base,blf,30,7.1474,27.8433,0.8640
spider,base,blf,31,9.3520,27.3333,0.8595
spider,base,blf,32,8.1720,35.3000,0.8900
spider,base,blf,33,8.6774,8.0700,0.7861
spider,base,blf,34,8.2185,29.4933,0.7899
spider,base,blf,35,8.6045,0.6367,0.7251
spider,phi,uncoupled,1,8.5600,32.6233,0.7848
spider,phi,uncoupled,2,8.9059,6.4500,0.8078
spider,phi,uncoupled,3,9.2019,1.9267,0.8138
spider,phi,uncoupled,4,8.6715,19.5100,0.7886
spider,phi,uncoupled,5,8.9740,22.1467,0.8005
spider,phi,uncoupled,6,9.0840,19.3033,0.8222
spider,phi,uncoupled,7,9.4584,2.8233,0.7712
spider,phi,uncoupled,8,9.9520,24.0900,0.8577
spider,phi,uncoupled,9,7.6666,57.3400,0.8596
spider,phi,uncoupled,10,9.0792,9.1667,0.7651
spider,phi,uncoupled,11,8.7164,2.5033,0.8148
spider,phi,uncoupled,12,7.9465,42.1967,0.8251
spider,phi,uncoupled,13,9.0248,38.2433,0.7753
spider,phi,uncoupled,14,9.0632,13.0967,0.8042
spider,phi,uncoupled,15,9.1059,1.7667,0.8055
spider,phi,uncoupled,16,8.9287,22.1367,0.8048
spider,phi,uncoupled,17,7.3203,2.4267,0.8740
spider,phi,uncoupled,18,9.5439,3.4300,0.7831
spider,phi,uncoupled,19,9.3804,3.3800,0.7836
spider,phi,uncoupled,20,8.7280,22.7100,0.8236
spider,phi,uncoupled,21,8.8136,0.4033,0.8106
spider,phi,uncoupled,22,8.9381,4.5267,0.7796
spider,phi,uncoupled,23,8.9530,26.9700,0.8121
spider,phi,uncoupled,24,9.2712,0.8300,0.8028
spider,phi,uncoupled,25,8.6810,23.7200,0.7719
spider,phi,uncoupled,26,8.4096,6.8733,0.7716
spider,phi,uncoupled,27,8.3702,16.3100,0.7889
spider,phi,uncoupled,28,9.0763,24.9700,0.8235
spider,phi,uncoupled,29,8.8194,34.0700,0.7942
spider,phi,uncoupled,30,9.3678,5.1067,0.8277
spider,phi,uncoupled,31,9.0315,37.2433,0.7746
spider,phi,uncoupled,32,9.0673,8.2167,0.8009
spider,phi,uncoupled,33,8.9788,7.6067,0.8325
spider,phi,uncoupled,34,8.3794,43.8267,0.8568
spider,phi,uncoupled,35,9.0995,4.8767,0.6932
